desc,address,link,price,bedrooms,bathrooms,toilets,parking space,location,Estate,ppty_type
1 bedroom flat / apartment for rent,"Oral Estate, Eleganza, Lekki, Lagos",https://nigeriapropertycentre.com//for-rent/flats-apartments/lagos/lekki/2245174-one-room-in-a-shared-apartment,1400000.0,1.0,1.0,1.0,1.0,Lekki,"Eleganza, Estate,",flat 
2 bedroom flat / apartment for rent,"Marshyhill Estate, Addo Road, Ajah, Lagos",https://nigeriapropertycentre.com//for-rent/flats-apartments/lagos/ajah/2245169-2-bedroom-apartment,1500000.0,2.0,1.0,2.0,1.0,Ajah,"Road, Addo",flat 
3 bedroom flat / apartment for rent,"Ikoyi, Ikoyi, Lagos",https://nigeriapropertycentre.com//for-rent/flats-apartments/lagos/ikoyi/2245110-luxury-furnished-3-bedroom-apartment,12000000.0,3.0,3.0,4.0,2.0,Ikoyi,,flat 
2 bedroom flat / apartment for rent,"Ikate, Ikate Elegushi, Lekki, Lagos",https://nigeriapropertycentre.com//for-rent/flats-apartments/lagos/lekki/ikate-elegushi/2245091-furnished-2-bedrooms-apartment,6000000.0,2.0,2.0,3.0,2.0,Lekki,"Elegushi, Ikate",flat 
3 bedroom flat / apartment for rent,"Ikate, Lekki, Lagos",https://nigeriapropertycentre.com//for-rent/flats-apartments/lagos/lekki/ikate/2245071-exquisitely-finished-luxury-3-bedroom-flat,6500000.0,3.0,3.0,4.0,3.0,Lekki,,flat 
1 bedroom mini flat (room and parlour) for rent,"Chevy View Estate Chevron Drive Lekki Lagos, Lekki, Lagos",https://nigeriapropertycentre.com//for-rent/flats-apartments/mini-flats/lagos/lekki/2245068-mini-flat-with-open-plan-kitchen-serviced,3000000.0,1.0,1.0,1.0,1.0,Lekki,"Lagos, Lekki",mini flat
2 bedroom flat / apartment for rent,"Lekki Scheme 2 Abraham Adesanya, Ajah, Lagos",https://nigeriapropertycentre.com//for-rent/flats-apartments/lagos/ajah/2245064-tastefully-built-2-bedroom-flat,1800000.0,2.0,2.0,3.0,2.0,Ajah,"Adesanya, Abraham",flat 
2 bedroom flat / apartment for rent,"Blue Waters, Lekki, Lagos",https://nigeriapropertycentre.com//for-rent/flats-apartments/lagos/lekki/2241205-fully-furnished-2-bedroom-at-blue-waters,13000000.0,2.0,2.0,2.0,1.0,Lekki,"Waters, Blue",flat 
2 bedroom flat / apartment for rent,"Ogidan, Sangotedo, Ajah, Lagos",https://nigeriapropertycentre.com//for-rent/flats-apartments/lagos/ajah/sangotedo/2244603-very-neat-2-bedroom-flat-downstairs,1500000.0,2.0,2.0,3.0,2.0,Ajah,"Sangotedo, Ogidan,",flat 
2 bedroom flat / apartment for rent,"Oniru, Victoria Island (VI), Lagos",https://nigeriapropertycentre.com//for-rent/flats-apartments/lagos/victoria-island/oniru/2155368-2-bedroom-spacious-luxury-penthouse-with-bq,8000000.0,2.0,2.0,3.0,2.0,(VI),Island Victoria,flat 
